Name,Income
Heather Miller,26192.387779033845
Mr. Shawn Ortiz DDS,15677.590879494735
David Jones,24738.768043840057
Robert Cunningham,25502.614024295654
Steven Lopez,15410.806929911927
Tanya Ellis,55987.69735946672
Paul Ruiz,27914.916330815067
Mark Wright,12141.058493714816
Eddie Chang,30585.361903443147
Kyle Hawkins,13529.92482376081
Brian Keller,32648.11181259125
James Bailey,39312.49905889436
Brooke Brown,14612.883364606601
Matthew Wallace,35656.547323649815
Juan Mccormick,27075.6604105987
John Clark,33224.076238756905
Sarah Willis,56862.79224265354
Stephen Davis,19483.163123126684
Rebecca Munoz,15110.300126178656
Laura Maldonado,14118.521348284752
Jill Gonzalez,14648.523985366397
Jon Cruz,21193.485915206733
Gerald Green,26123.11901915697
Alexis Gonzalez,25294.579421987826
Keith Jones,33309.29028239276
Norma Williams,22170.125112947993
Jason Hanson,45559.16266125389
Lisa Mack,19296.35666774518
Louis Perez,85826.62768389178
Ashley Leon,30116.656623670682
Cheryl Walker,14348.794659293366
Nicholas Dixon,12894.469158000062
Oscar White,28035.762536124297
Joshua Brown,19697.925553665784
Cody Meyer,31476.61748306119
Kyle Rivas,27906.608743508423
Jill Holmes,21238.812044247705
Catherine Myers,14423.341935627916
Natalie Fernandez,10327.61224386789
Ernest Ingram,17619.16526304596
Christopher Stewart,33799.43607504751
Deanna Thompson,24515.157337278903
Mrs. Wanda George,11815.064049560324
Anthony Williamson,24018.75981436196
Joanne Jones,26706.404642242785
Rita White,14158.512069649603
Dennis Hall,23786.240279906677
Courtney Bullock,22676.952044153266
David Cox,12438.04066512306
Jacob Lopez,26341.30925899475
David Fox,29155.30786466023
Regina Huynh,37855.27524660717
Maxwell Johns,37305.68571367915
Lisa Jones,11060.829983994132
Stephanie Davis,13781.5701202871
Christian Norris,28495.960905648797
Michael Brooks,28478.166229850794
Jason Orozco,28496.137853255
Wendy Mullins,151201.05879679564
Sean Moreno,29303.0022418065
Mrs. Samantha Norton DDS,38862.413170518346
Patty Conley,35489.809635914586
Donna Perry,30506.517419491694
Kevin Sanders,18814.166037065825
Luis Nicholson,32192.365599770277
Sandra Duncan,14966.765561772432
Bonnie Marshall,19566.822799152444
Gina Hess,17280.22781631124
Matthew Romero,22946.87566667983
Ronald Cox,70075.55410650207
Tracey Foley,8659.111548176008
Michael Delgado,31043.045821855714
Laura Mills,9834.403363877194
Christine Atkins,17396.66964386173
Danielle Clark,37967.1009211206
Courtney Harris,22745.895932814874
Wesley Newman,12850.36649637529
Emily Perry,15403.470888391514
Randy Obrien,30939.80663613251
Jennifer Russell,15287.896014761232
Michael Castro,24544.16176080863
Diana Lopez,22534.120810231005
Lisa King,15901.994589117421
Julie Esparza,64342.267630532835
Katrina Lopez,30241.169731996793
Ashley Reid,8001.855303174893
Pamela Martin,24178.69511837164
Christina Peterson,15821.210692297946
Lauren Martin,33732.48731972523
Traci Stephens,14820.099767591357
Adam Ochoa,20798.409143244782
Laura Tucker,28353.15639067604
Thomas Smith,33957.92703143711
Susan Vincent,12086.589322296071
John Martin,18634.116166006723
Michelle Bates,17370.477424213557
Bruce Maynard,15888.254169172116
Adriana Walker,53248.61746524048
Anthony Moon,26970.281550650176
Savannah Foster,11725.931348086287
Tara Huffman,34854.271384993735
Nathan White,63645.13061251639
Glenda Tanner,36909.80933271638
Marco Villa,10304.28407158268
Ellen Bailey,17289.989364743393
John Ward DDS,41500.28503852152
Diamond Floyd,15462.380173663847
Matthew Rios,27499.131850211037
Kendra Perkins,32445.49964579642
Tyler Mccormick,13856.847090404037
Anthony Avery,21380.558824702628
Michael Grant,4356.24762783359
Heidi Williams,13197.809915715325
Charles Daniels,19413.343624362744
Shelley Bentley,11802.992842527314
Matthew Shannon,49821.687090680345
Scott Hinton,10774.41165847737
Shane Medina,17676.25966943323
Travis Cole,23514.447269111733
Stephen Gonzalez Jr.,45280.7213911298
Lisa Durham,10743.63671075236
Don Solomon,39402.39483596255
Valerie Adkins,22139.453685572636
Carly Parker,13483.819290288971
Ashley Garza,27751.682199293482
Amanda Craig,24331.567194655574
Brian Simmons,16315.837835807024
Jonathan Jennings,22808.784880176794
Robert Wright,18166.657757479265
Katie Galvan,23312.81929576883
Brian Cunningham,30670.76921791481
Douglas Chambers,48679.26303765711
Shane Arellano,11861.963918079797
Michael Rogers,63992.21327285948
Shannon Henry,8299.546055982712
Michael Smith,20416.6791768471
Mark Mills,29559.445110213383
Sherry Wagner,25349.034813276474
Heather Patrick,16133.453302102569
Corey Spencer,19849.59483994956
Lauren Banks,17214.36575768216
Christopher Cruz,16404.60917411234
Cynthia Payne,33684.76875716781
Melissa Vasquez,26331.145129559733
Natalie Williams,15576.91364202223
Jacqueline Archer,34537.46437406744
Joshua Thompson,25684.67425300184
Stephen Lee,33071.628851494184
Anna Vincent,30176.3692215705
Yolanda Dean,14552.273206774953
Tracy Massey,16645.737887413947
Kelly Frank,32004.980252457874
Jeffery Garcia,29887.186809038627
